id,year,award,prefix,name,gender,place,state,stateClass,indiaClass,area,areaClass
4173,2015,Padma Shri,Prof.,Jacques,Male,France,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
870,1971,Padma Bhushan,Dr.,Pandurang Vasudeva Sakharam,Male,Italy,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
3032,2006,Padma Vibhushan,Dr.,Norman E. Borlaug,Male,Mexico,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
2615,2001,Padma Shri,Dr.,Sanjaya,Male,Mexico,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
2110,1991,Padma Bhushan,Dr.,Leslie Denis Swindale,Male,New Zealand,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
2507,2000,Padma Shri,Dr.,Gurdev Singh Khush,Male,Phillipines,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
2674,2002,Padma Bhushan,Shri,Guri Ivanovich Marchuk,Male,Russia,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
2759,2003,Padma Bhushan,Dr.,Herbert Alexandrovich Yefremov,Male,Russia,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
553,1967,Padma Shri,Dr.,Hermenogild Santapau,Male,Spain,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
163,1958,Padma Shri,Dr.,Navalpakkam,Male,Thailand,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
1485,1977,Padma Shri,Dr.,Ramamoorthy,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
3514,2010,Padma Vibhushan,Dr.,Venkatraman,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
251,1961,Padma Bhushan,Dr.,Verrier,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
3217,2007,Padma Shri,Prof.,Ananda Mohan Chakrabarty,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
3532,2010,Padma Bhushan,Prof.,Arogyaswami Joseph Paulraj,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
2562,2001,Padma Bhushan,Dr.,Arun Netravali,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
3389,2009,Padma Bhushan,Dr.,Bhakta Bhushan Rath,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
2550,2001,Padma Vibhushan,Dr.,Calyampudi Radhakrishna Rao,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
1319,1975,Padma Bhushan,Dr.,Dilbagh Singh Athwal,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
3143,2007,Padma Vibhushan,Prof.,Ennackal Chandy George Sudarshan,Male,USA,Foreign countries,foreign-countries,foreign,Science and Engineering,science-engineering
